text,label
Ei dhoroner lokera khub baje. 🔥 #savage,0
sis Tui akdom pagol naki? 👎,2
"Get out of here, nobody wants your kind. 🔥",0
smh Edo matladtunnadu pakkalo 😒 😤 #toxic,2
Faltu ma na bol ne! 😎,2
lol Oder dekhe ekhane ashte ichhe kore na. 🙄,0
A community tho matladadam waste.,0
"omg Get out of here, nobody wants your kind. 😡",0
Dost sathe garba karela 🎉,1
Tane kai samajh pade che? 😤 😭,2
sis College ni picnic best hati. 👎,1
A loko to desh ma j nahi joie. 🙄,0
lmao Tu kitna pagal hai bro 😒 😤,2
People like you are the worst. Disgusting.,0
idk Friends tho hangout super ga undhi. 😤 #toxic,1
Iniki lunch biriyani! 😋 🙄,1
Un community ku inga edam illa.  #fail,0
omg Nalla rasam undayirunnu. 🙄,1
idk Avide karikal onnum venda.,0
Cinemata darun chhilo!,1
Ajke raat bhalo lagche 😌  #life,1
sis You're such a loser 😤,2
lol Tum jaise log desh ke liye threat ho. 😡,0
idk This community should be banned! 👎 #lol,0
Innu college nannayirunnu 😄  #fail,1
Chilling with friends #goodvibes  #savage,1
lol Edo matladtunnadu pakkalo 😒,2
Apni community leke chale jao yahan se.,0
Nee brain unda?,2
Ki faltu gatha korchis re!  #lol,2
sis Ki faltu gatha korchis re! 👎,2
Ajke raat bhalo lagche 😌 😡 #life,1
idk Avarude samuham mosham aanallo.,0
Avanga varatha thadunga. Bad influence. 💯,0
Can't believe u said that. Idiot! 🔥,2
Tui akdom pagol naki? 😂,2
omg Tor matha thik ache?,2
lmao Dost sathe garba karela 🎉 😭,1
Eda thettu parayanam! 👍 #lol,2
bro College ni picnic best hati. 💯 #lol,1
lmao Nee brain unda?  #mood,2
People like you are the worst. Disgusting. 🔥 #funny,0
Avide karikal onnum venda. 😎,0
Innu college nannayirunnu 😄 💯 #mood,1
Can't believe u said that. Idiot!,2
Edo matladtunnadu pakkalo 😒 😤,2
Aaj mausam suhana hai 😍,1
bruh A loko to desh ma j nahi joie.,0
smh Tor matha thik ache?,2
Tari vaat samdi ne hasi avi gayi 🤣,2
Nee onnum ariyilla alle 😑 👎 #lol,2
sis Tor matha thik ache?,2
sis Nalla rasam undayirunnu. 👍,1
sis Chilling with friends #goodvibes 🔥,1
Inka hona hi problem hai.,0
wtf Vallaki place ledu ikkada. 👍 #fail,0
bruh Faltu ma na bol ne! 😡 #fail,2
Inko coffee tho chill 😎,1
Can't believe u said that. Idiot! 😭,2
Avarude samuham mosham aanallo.,0
Kya faltu baatein kar raha hai 😑 🙄 #savage,2
wtf This community should be banned! 😡,0
Inko coffee tho chill 😎,1
People like you are the worst. Disgusting. 😂,0
Ninna movie chala bagundhi. 😂 #funny,1
sis Ei dhoroner lokera khub baje.,0
Iniki lunch biriyani! 😋  #funny,1
wtf A loko to desh ma j nahi joie. 👍,0
idk Iniki lunch biriyani! 😋 🙄 #savage,1
Ki faltu gatha korchis re!,2
Eda thettu parayanam!  #mood,2
bro Tor matha thik ache? 😎 #funny,2
smh Avarude samuham mosham aanallo. 😂,0
wtf Doston ke saath masti kar raha hu!,1
Avi mentality waala loko kharab che. 😎,0
omg This community should be banned!,0
"sis Get out of here, nobody wants your kind. 😂",0
Nee onnum ariyilla alle 😑 😤,2
Ane ena jivata hoy to problem che. 👎,0
"Avanga ellarum same thaan, useless.",0
omg Kya faltu baatein kar raha hai 😑,2
wtf Chilling with friends #goodvibes 🙄,1
lmao Cafe il poyi chaya kudichu ☕  #life,1
bro Cafe il poyi chaya kudichu ☕,1
sis Avide karikal onnum venda.,0
Tu kitna pagal hai bro 😒  #life,2
Dost sathe garba karela 🎉  #mood,1
This community should be banned!  #life,0
bro College ni picnic best hati.,1
Ki faltu gatha korchis re!,2
wtf Had a great day today 😊,1
Pichhodu la undev 😠,2
Ajke raat bhalo lagche 😌,1
Tu kitna pagal hai bro 😒 😭,2
lol Aayana laanti vaallu problem. 😡 😂 #toxic,0
bro Poyi valarnnu vaa da! 😒  #mood,2
lol Eda thettu parayanam!,2
bro Avanga varatha thadunga. Bad influence. 🙄,0
bruh Iniki lunch biriyani! 😋,1
bruh Iniki lunch biriyani! 😋 🔥,1
smh Inko coffee tho chill 😎 💯,1
smh You're such a loser 😤 😤 #mood,2
Avi mentality waala loko kharab che. 😡,0
wtf This community should be banned!  #toxic,0
Facebook e ekta nice post dekhlam. 🔥,1
idk Cinemata darun chhilo! 🔥,1
Un community ku inga edam illa. 🔥,0
Tari vaat samdi ne hasi avi gayi 🤣  #mood,2
"smh Get out of here, nobody wants your kind. 👍",0
Ane ena jivata hoy to problem che. 🙄,0
bruh Cricket match mast tha!,1
Iniki lunch biriyani! 😋,1
Ninna movie chala bagundhi. 👎,1
bruh A loko to desh ma j nahi joie.,0
bruh Tui akdom pagol naki?,2
smh Cafe il poyi chaya kudichu ☕ 😤,1
Edo matladtunnadu pakkalo 😒,2
Tor matha thik ache? 🔥 #life,2
Pichhodu la undev 😠 😤,2
Nee romba irritating da 🤬,2
Had a great day today 😊 💯 #mood,1
College ni picnic best hati. 😭 #mood,1
bro Innu college nannayirunnu 😄,1
"idk Get out of here, nobody wants your kind.",0
What a game! Loved it 🔥 😭,1
idk Avi mentality waala loko kharab che. 👎,0
Tui akdom pagol naki? 😂,2
sis Apni community leke chale jao yahan se. 😂,0
"Get out of here, nobody wants your kind. 😎",0
Tane kai samajh pade che? 😤,2
Nee onnum ariyilla alle 😑 👍 #mood,2
sis Oru vattam koodi kandupidikkanam ivide. 😠 👎 #savage,0
sis Nee brain unda? 😡 #mood,2
That was dumb af bro 🙄 👎 #lol,2
Iniki lunch biriyani! 😋  #lol,1
Vallaki place ledu ikkada. 😂,0
bruh Avanga varatha thadunga. Bad influence.  #funny,0
Class la nalla fun pannom.,1
bro Oder community er kono jayga nei ekhane. 😭,0
idk People like you are the worst. Disgusting.,0
Bakwaas band kar idiot!  #lol,2
lmao Cafe il poyi chaya kudichu ☕ 👍,1
Nee onnum ariyilla alle 😑 🔥,2
Oru vattam koodi kandupidikkanam ivide. 😠,0
You're such a loser 😤,2
Edo matladtunnadu pakkalo 😒 👍,2
Enna da pannra? Waste fellow! 😎,2
wtf Facebook e ekta nice post dekhlam. 💯,1
Friends tho hangout super ga undhi.,1
Tari vaat samdi ne hasi avi gayi 🤣,2
lmao People like you are the worst. Disgusting. 😂 #funny,0
smh Bakwaas band kar idiot! 🙄,2
omg This community should be banned! 🔥,0
smh Cricket match mast tha!,1
Nee brain unda? 💯,2
Ninna movie chala bagundhi.,1
Apni community leke chale jao yahan se. 😂,0
idk Aayana laanti vaallu problem. 😡,0
Doston ke saath masti kar raha hu! 😂,1
omg College ni picnic best hati.  #life,1
bruh Majja avi gayi yaar 😍 😎,1
Ei dhoroner lokera khub baje. 😤 #mood,0
Had a great day today 😊,1
omg Cafe il poyi chaya kudichu ☕  #lol,1
idk Can't believe u said that. Idiot! 🙄 #mood,2
Had a great day today 😊  #mood,1
omg Cricket match mast tha! 😂,1
Tari vaat samdi ne hasi avi gayi 🤣  #fail,2
Chilling with friends #goodvibes  #mood,1
smh Aaj mausam suhana hai 😍,1
lol Ei dhoroner lokera khub baje. 🙄 #mood,0
idk Cricket match mast tha! 🔥,1
sis Ajke raat bhalo lagche 😌  #fail,1
Un community ku inga edam illa. 🔥,0
Faltu ma na bol ne! 😤 #toxic,2
omg Avi mentality waala loko kharab che.,0
Inko coffee tho chill 😎 😭 #funny,1
Loosu madhiri pesatha! 😤,2
sis Dost sathe garba karela 🎉,1
You're such a loser 😤  #funny,2
Cafe il poyi chaya kudichu ☕,1
omg Aaj mausam suhana hai 😍 😤,1
Oder dekhe ekhane ashte ichhe kore na. 😂 #mood,0
bro Ei dhoroner lokera khub baje.,0
bro Tane kai samajh pade che? 😤 😂,2
bruh Ane ena jivata hoy to problem che.,0
Had a great day today 😊 🔥,1
bro Ei dhoroner lokera khub baje. 🙄,0
bro Tum jaise log desh ke liye threat ho.,0
omg Tui akdom pagol naki? 👍,2
Nethu movie super da 😍 😤,1
Nee romba irritating da 🤬  #life,2
"bruh Avanga ellarum same thaan, useless.",0
smh This community should be banned! 😭 #toxic,0
sis Avi mentality waala loko kharab che.  #lol,0
bruh Eda thettu parayanam!,2
Nee romba irritating da 🤬,2
"Avanga ellarum same thaan, useless. 😤 #savage",0
Innu college nannayirunnu 😄 😡,1
wtf Bakwaas band kar idiot! 😤,2
bruh This community should be banned!,0
smh Tari vaat samdi ne hasi avi gayi 🤣 😂,2
Ei dhoroner lokera khub baje.,0
Tor matha thik ache? 😤 #life,2
bruh Facebook e ekta nice post dekhlam. 😂 #toxic,1
lol Nalla rasam undayirunnu. 😡 #lol,1
People like you are the worst. Disgusting.,0
Cricket match mast tha! 💯 #toxic,1
Vallaki place ledu ikkada. 👍,0
wtf Oru vattam koodi kandupidikkanam ivide. 😠,0
bruh Tui akdom pagol naki?,2
A loko to desh ma j nahi joie.,0
lol Tui akdom pagol naki?,2
Inko coffee tho chill 😎,1
smh Chilling with friends #goodvibes 😎,1
Tui akdom pagol naki?,2
A community tho matladadam waste.,0
That was dumb af bro 🙄  #funny,2
idk You're such a loser 😤 🙄,2
Innu college nannayirunnu 😄 🙄 #mood,1
lol Pichhodu la undev 😠,2
smh Can't believe u said that. Idiot!,2
Class la nalla fun pannom.,1
Cafe il poyi chaya kudichu ☕ 🙄 #toxic,1
Avanga varatha thadunga. Bad influence. 💯 #life,0
idk Avanga varatha thadunga. Bad influence.  #mood,0
Had a great day today 😊,1
Tari vaat samdi ne hasi avi gayi 🤣 👍 #life,2
"omg Get out of here, nobody wants your kind.",0
Tui akdom pagol naki?  #funny,2
sis Cafe il poyi chaya kudichu ☕ 😡,1
omg Tane kai samajh pade che? 😤,2
wtf Nee brain unda? 😭,2
smh Faltu ma na bol ne!,2
Apni community leke chale jao yahan se.  #lol,0
bro Tor matha thik ache? 🔥,2
Ajke raat bhalo lagche 😌 😎,1
Ajke raat bhalo lagche 😌 😤,1
Nee romba irritating da 🤬 😡,2
Ajke raat bhalo lagche 😌 💯,1
lmao Innu college nannayirunnu 😄 😭 #funny,1
Tu kitna pagal hai bro 😒  #fail,2
Cafe il poyi chaya kudichu ☕ 👎,1
lmao This community should be banned!,0
bro Tane kai samajh pade che? 😤,2
sis Tari vaat samdi ne hasi avi gayi 🤣 😎,2
Nee romba irritating da 🤬,2
Cinemata darun chhilo!,1
Oder community er kono jayga nei ekhane. 😭,0
lmao Avi mentality waala loko kharab che.  #funny,0
Oru vattam koodi kandupidikkanam ivide. 😠 👎,0
Aayana laanti vaallu problem. 😡 😭,0
omg Tui akdom pagol naki? 🙄,2
A loko to desh ma j nahi joie. 😎,0
wtf Ninna movie chala bagundhi. 🔥,1
lol Inka hona hi problem hai. 🔥,0
Nee onnum ariyilla alle 😑 😎 #funny,2
Ane ena jivata hoy to problem che.  #toxic,0
idk Had a great day today 😊 🙄 #funny,1
lmao Innu college nannayirunnu 😄,1
wtf Nee onnum ariyilla alle 😑 🔥,2
bro Vallaki place ledu ikkada.  #savage,0
bro Tari vaat samdi ne hasi avi gayi 🤣 🔥 #lol,2
bruh Nee romba irritating da 🤬 💯 #fail,2
lol Nee onnum ariyilla alle 😑  #life,2
What a game! Loved it 🔥,1
bro Dost sathe garba karela 🎉 😂,1
That was dumb af bro 🙄,2
smh Inka hona hi problem hai. 👎,0
smh Oder community er kono jayga nei ekhane. 😎,0
bro A loko to desh ma j nahi joie. 😭 #toxic,0
smh Ei dhoroner lokera khub baje.  #toxic,0
Un community ku inga edam illa. 😭 #mood,0
This community should be banned! 👎,0
omg Bakwaas band kar idiot!  #funny,2
Doston ke saath masti kar raha hu!  #fail,1
Nee brain unda?,2
Tane kai samajh pade che? 😤,2
bruh Vallaki place ledu ikkada. 🙄,0
idk People like you are the worst. Disgusting. 😎,0
omg Aayana laanti vaallu problem. 😡  #fail,0
omg Cinemata darun chhilo! 👎,1
Kya faltu baatein kar raha hai 😑 👎 #life,2
lmao Enna da pannra? Waste fellow!,2
Iniki lunch biriyani! 😋 😎 #life,1
Avide karikal onnum venda. 🙄 #toxic,0
Ane ena jivata hoy to problem che.,0
Tum jaise log desh ke liye threat ho.  #mood,0
Kya faltu baatein kar raha hai 😑,2
Class la nalla fun pannom.,1
bruh Tu kitna pagal hai bro 😒 🙄,2
bruh Innu college nannayirunnu 😄,1
Tane kai samajh pade che? 😤,2
That was dumb af bro 🙄 👎,2
You're such a loser 😤 🙄 #fail,2
That was dumb af bro 🙄,2
Pichhodu la undev 😠,2
lol Majja avi gayi yaar 😍,1
bro Aayana laanti vaallu problem. 😡,0
Nee onnum ariyilla alle 😑,2
Avide karikal onnum venda. 🔥 #life,0
wtf Chilling with friends #goodvibes,1
lol Tui akdom pagol naki? 😭 #life,2
Tari vaat samdi ne hasi avi gayi 🤣,2
"Get out of here, nobody wants your kind.",0
sis Friends tho hangout super ga undhi.,1
bro Ninna movie chala bagundhi.  #funny,1
bro Nethu movie super da 😍 😎,1
wtf Vallaki place ledu ikkada. 👎 #mood,0
Aaj mausam suhana hai 😍 👎,1
lol Oder community er kono jayga nei ekhane.  #savage,0
Nalla rasam undayirunnu. 👎,1
What a game! Loved it 🔥 😡,1
Avi mentality waala loko kharab che.,0
Majja avi gayi yaar 😍 👍,1
idk Eda thettu parayanam! 🔥,2
bro Vallaki place ledu ikkada. 😡,0
Edo matladtunnadu pakkalo 😒,2
Tu kitna pagal hai bro 😒 🙄,2
Enna da pannra? Waste fellow!,2
wtf Aayana laanti vaallu problem. 😡 💯 #mood,0
sis Nethu movie super da 😍,1
idk Nee romba irritating da 🤬,2
Tor matha thik ache? 🙄 #mood,2
Nee brain unda?,2
lol Cafe il poyi chaya kudichu ☕,1
What a game! Loved it 🔥 👍 #toxic,1
Bakwaas band kar idiot!,2
Nee brain unda? 😂,2
Chilling with friends #goodvibes,1
wtf Pichhodu la undev 😠 😭,2
lol Inka hona hi problem hai. 😭,0
bro Un community ku inga edam illa.,0
Innu college nannayirunnu 😄,1
lmao Chilling with friends #goodvibes  #mood,1
Nee onnum ariyilla alle 😑 🔥 #mood,2
Poyi valarnnu vaa da! 😒,2
What a game! Loved it 🔥 😂,1
wtf Nee onnum ariyilla alle 😑,2
omg Nee brain unda? 🔥,2
bro Kya faltu baatein kar raha hai 😑  #fail,2
Iniki lunch biriyani! 😋 👎,1
Ane ena jivata hoy to problem che.  #toxic,0
Tor matha thik ache?,2
People like you are the worst. Disgusting.,0
Avide karikal onnum venda. 💯,0
Ki faltu gatha korchis re!,2
idk Avanga varatha thadunga. Bad influence.  #funny,0
Ninna movie chala bagundhi.,1
smh Tui akdom pagol naki?,2
wtf Ki faltu gatha korchis re! 👎,2
Enna da pannra? Waste fellow!,2
Loosu madhiri pesatha! 👎 #life,2
Friends tho hangout super ga undhi.,1
Oder dekhe ekhane ashte ichhe kore na. 👎 #lol,0
lol Cricket match mast tha! 🔥,1
Ane ena jivata hoy to problem che. 😭,0
sis That was dumb af bro 🙄 🔥 #lol,2
lmao Ane ena jivata hoy to problem che. 💯,0
Avanga varatha thadunga. Bad influence.,0
Tari vaat samdi ne hasi avi gayi 🤣  #lol,2
idk Nee brain unda? 😭,2
Faltu ma na bol ne!,2
bruh Dost sathe garba karela 🎉,1
wtf Nethu movie super da 😍 😂,1
Inka hona hi problem hai. 💯 #funny,0
"wtf Avanga ellarum same thaan, useless.",0
bro Nee brain unda? 👎,2
People like you are the worst. Disgusting.,0
Ei dhoroner lokera khub baje.,0
idk Tum jaise log desh ke liye threat ho. 😭,0
Ane ena jivata hoy to problem che. 😎,0
People like you are the worst. Disgusting.  #life,0
lmao Facebook e ekta nice post dekhlam.,1
lmao Bakwaas band kar idiot! 😭 #funny,2
Loosu madhiri pesatha! 🔥,2
sis Class la nalla fun pannom.,1
bro Tum jaise log desh ke liye threat ho.  #funny,0
Eda thettu parayanam! 😭,2
Tum jaise log desh ke liye threat ho.,0
What a game! Loved it 🔥,1
Vallaki place ledu ikkada.,0
Tu kitna pagal hai bro 😒  #fail,2
Faltu ma na bol ne! 😎,2
bro Oru vattam koodi kandupidikkanam ivide. 😠  #toxic,0
bruh Avide karikal onnum venda.,0
smh Iniki lunch biriyani! 😋 👍 #life,1
Faltu ma na bol ne!,2
lol Chilling with friends #goodvibes 🔥,1
omg Oder dekhe ekhane ashte ichhe kore na.,0
smh Nee romba irritating da 🤬,2
lol Nee onnum ariyilla alle 😑 💯 #toxic,2
What a game! Loved it 🔥,1
Nee romba irritating da 🤬,2
bruh Avarude samuham mosham aanallo.,0
Dost sathe garba karela 🎉  #life,1
bruh You're such a loser 😤  #toxic,2
Majja avi gayi yaar 😍 😭,1
lol Inko coffee tho chill 😎 👍,1
Nethu movie super da 😍,1
sis Can't believe u said that. Idiot!,2
Cafe il poyi chaya kudichu ☕,1
sis Nee brain unda? 🔥,2
Nee onnum ariyilla alle 😑,2
Poyi valarnnu vaa da! 😒,2
Avanga varatha thadunga. Bad influence. 😡 #life,0
omg Tum jaise log desh ke liye threat ho.  #savage,0
What a game! Loved it 🔥  #funny,1
Tui akdom pagol naki?  #life,2
bro That was dumb af bro 🙄,2
That was dumb af bro 🙄 😭 #life,2
lol Ki faltu gatha korchis re!,2
lol Can't believe u said that. Idiot!  #life,2
omg A loko to desh ma j nahi joie.  #toxic,0
sis That was dumb af bro 🙄 😤,2
That was dumb af bro 🙄 👍,2
Tui akdom pagol naki?,2
A loko to desh ma j nahi joie.,0
idk Nethu movie super da 😍 😎,1
bruh People like you are the worst. Disgusting. 💯,0
Ei dhoroner lokera khub baje. 😤,0
Avarude samuham mosham aanallo.,0
This community should be banned! 😡,0
Had a great day today 😊 😎,1
Kya faltu baatein kar raha hai 😑  #toxic,2
Nee romba irritating da 🤬,2
Innu college nannayirunnu 😄,1
sis Loosu madhiri pesatha! 😎,2
Cafe il poyi chaya kudichu ☕ 💯,1
That was dumb af bro 🙄  #savage,2
Enna da pannra? Waste fellow!,2
Nethu movie super da 😍  #fail,1
Ki faltu gatha korchis re!  #life,2
Oder community er kono jayga nei ekhane.,0
Faltu ma na bol ne!,2
idk Ki faltu gatha korchis re! 💯,2
"lmao Get out of here, nobody wants your kind. 🙄 #mood",0
lol Oder dekhe ekhane ashte ichhe kore na. 😭,0
"Avanga ellarum same thaan, useless.  #life",0
You're such a loser 😤,2
bro Friends tho hangout super ga undhi.,1
Oru vattam koodi kandupidikkanam ivide. 😠 💯,0
Ninna movie chala bagundhi.,1
sis Avi mentality waala loko kharab che.,0
Tu kitna pagal hai bro 😒  #life,2
smh Avide karikal onnum venda.,0
That was dumb af bro 🙄 😂,2
Nethu movie super da 😍  #life,1
idk Apni community leke chale jao yahan se.,0
smh Poyi valarnnu vaa da! 😒 🙄 #toxic,2
What a game! Loved it 🔥 😤,1
omg Had a great day today 😊,1
sis Tu kitna pagal hai bro 😒  #funny,2
idk Apni community leke chale jao yahan se.,0
smh Kya faltu baatein kar raha hai 😑,2
You're such a loser 😤 👎,2
lol A loko to desh ma j nahi joie. 😡 #mood,0
Ane ena jivata hoy to problem che. 😭 #mood,0
Oru vattam koodi kandupidikkanam ivide. 😠 💯,0
wtf Tor matha thik ache? 😤,2
idk Enna da pannra? Waste fellow! 😡,2
Oru vattam koodi kandupidikkanam ivide. 😠 💯,0
Oder community er kono jayga nei ekhane.  #mood,0
Facebook e ekta nice post dekhlam.,1
omg Bakwaas band kar idiot!  #mood,2
Avi mentality waala loko kharab che. 👍,0
Chilling with friends #goodvibes  #fail,1
lmao Ki faltu gatha korchis re!  #fail,2
Oder community er kono jayga nei ekhane.,0
Ajke raat bhalo lagche 😌,1
lmao Iniki lunch biriyani! 😋,1
Kya faltu baatein kar raha hai 😑 👍,2
People like you are the worst. Disgusting. 👎 #funny,0
idk A loko to desh ma j nahi joie.  #lol,0
Oder dekhe ekhane ashte ichhe kore na.,0
Tor matha thik ache? 🔥,2
wtf Ajke raat bhalo lagche 😌 😎,1
bruh Apni community leke chale jao yahan se.,0
This community should be banned!  #toxic,0
Kya faltu baatein kar raha hai 😑  #mood,2
Ei dhoroner lokera khub baje. 😡,0
lol Cafe il poyi chaya kudichu ☕,1
Avanga varatha thadunga. Bad influence. 😤 #life,0
bruh Cinemata darun chhilo! 😂,1
lol Kya faltu baatein kar raha hai 😑 😎 #fail,2
bro Inka hona hi problem hai.,0
"Get out of here, nobody wants your kind. 🔥",0
Faltu ma na bol ne! 😂,2
omg Ane ena jivata hoy to problem che. 😡,0
idk Kya faltu baatein kar raha hai 😑,2
Tor matha thik ache?,2
Chilling with friends #goodvibes 💯,1
Inko coffee tho chill 😎 👎 #fail,1
lmao Ki faltu gatha korchis re!,2
You're such a loser 😤,2
smh Can't believe u said that. Idiot!,2
lol Ane ena jivata hoy to problem che. 🙄 #funny,0
lol Aaj mausam suhana hai 😍,1
lmao Innu college nannayirunnu 😄,1
wtf Avarude samuham mosham aanallo.  #lol,0
idk Cafe il poyi chaya kudichu ☕ 😎,1
Inka hona hi problem hai. 😎,0
Facebook e ekta nice post dekhlam. 🙄,1
Ajke raat bhalo lagche 😌,1
bro Avi mentality waala loko kharab che.  #toxic,0
smh Tui akdom pagol naki? 😎,2
lol A loko to desh ma j nahi joie.,0
omg Ei dhoroner lokera khub baje. 😡,0
lol What a game! Loved it 🔥,1
lmao Poyi valarnnu vaa da! 😒  #mood,2
"Get out of here, nobody wants your kind.",0
Tui akdom pagol naki? 👎,2
Oru vattam koodi kandupidikkanam ivide. 😠  #fail,0
Class la nalla fun pannom.  #toxic,1
"Get out of here, nobody wants your kind.",0
Poyi valarnnu vaa da! 😒,2
lmao Dost sathe garba karela 🎉,1
Nalla rasam undayirunnu. 😎,1
lol Un community ku inga edam illa. 👎,0
Nee romba irritating da 🤬 😎,2
Tum jaise log desh ke liye threat ho.,0
Tari vaat samdi ne hasi avi gayi 🤣 😎,2
Chilling with friends #goodvibes 🙄,1
Ajke raat bhalo lagche 😌,1
"smh Get out of here, nobody wants your kind. 😭",0
Bakwaas band kar idiot! 🔥 #mood,2
Class la nalla fun pannom.,1
Innu college nannayirunnu 😄 👎,1
idk Apni community leke chale jao yahan se.  #life,0
Nee romba irritating da 🤬  #savage,2
Eda thettu parayanam!,2
That was dumb af bro 🙄 😤 #funny,2
bro Tui akdom pagol naki? 👎,2
Friends tho hangout super ga undhi.,1
Tane kai samajh pade che? 😤 👍,2
bruh Tui akdom pagol naki?,2
A community tho matladadam waste. 😂,0
Nalla rasam undayirunnu. 😂,1
Nee onnum ariyilla alle 😑 😭,2
sis Ane ena jivata hoy to problem che.,0
bruh Avide karikal onnum venda.,0
Oder community er kono jayga nei ekhane. 💯,0
bro This community should be banned! 😤,0
Edo matladtunnadu pakkalo 😒  #lol,2
bruh Avi mentality waala loko kharab che. 😡 #life,0
Oder dekhe ekhane ashte ichhe kore na.,0
Nethu movie super da 😍,1
Apni community leke chale jao yahan se. 😎,0
This community should be banned! 😤,0
wtf Inka hona hi problem hai.  #savage,0
Class la nalla fun pannom.  #toxic,1
Tor matha thik ache? 💯,2
Aaj mausam suhana hai 😍 💯,1
A community tho matladadam waste. 👍,0
bro Can't believe u said that. Idiot!,2
Majja avi gayi yaar 😍,1
Class la nalla fun pannom.  #funny,1
People like you are the worst. Disgusting. 👍,0
bro Bakwaas band kar idiot!,2
bruh Chilling with friends #goodvibes 😤 #life,1
smh Cafe il poyi chaya kudichu ☕,1
Pichhodu la undev 😠  #toxic,2
Inka hona hi problem hai. 😂,0
smh Tor matha thik ache?,2
"bro Get out of here, nobody wants your kind. 🔥",0
wtf Chilling with friends #goodvibes,1
bro Edo matladtunnadu pakkalo 😒  #fail,2
Cafe il poyi chaya kudichu ☕,1
bruh Poyi valarnnu vaa da! 😒  #savage,2
