text,label
Nalla rasam undayirunnu. 😡,neutral
bruh Oder dekhe ekhane ashte ichhe kore na. 😤,hate_speech
bruh Oder community er kono jayga nei ekhane.,hate_speech
wtf Nee onnum ariyilla alle 😑,offensive
Vallaki place ledu ikkada.,hate_speech
Faltu ma na bol ne!,offensive
bruh People like you are the worst. Disgusting. 😡 #savage,hate_speech
wtf Nalla rasam undayirunnu. 🙄 #savage,neutral
Oru vattam koodi kandupidikkanam ivide. 😠 💯,hate_speech
Chilling with friends #goodvibes 😂,neutral
sis Innu college nannayirunnu 😄,neutral
Tane kai samajh pade che? 😤,offensive
"smh Avanga ellarum same thaan, useless. 🔥",hate_speech
Iniki lunch biriyani! 😋 🙄,neutral
Cinemata darun chhilo! 👍,neutral
Loosu madhiri pesatha! 😡 #lol,offensive
idk This community should be banned!  #mood,hate_speech
wtf Nethu movie super da 😍 😡,neutral
bro A community tho matladadam waste. 😂,hate_speech
bruh Kya faltu baatein kar raha hai 😑,offensive
Aaj mausam suhana hai 😍,neutral
Avarude samuham mosham aanallo.  #savage,hate_speech
idk Had a great day today 😊  #toxic,neutral
sis Tui akdom pagol naki?,offensive
idk Cinemata darun chhilo!,neutral
smh People like you are the worst. Disgusting.  #funny,hate_speech
Pichhodu la undev 😠,offensive
Apni community leke chale jao yahan se. 😭,hate_speech
wtf Avarude samuham mosham aanallo. 🔥,hate_speech
bruh Facebook e ekta nice post dekhlam. 👎,neutral
This community should be banned!,hate_speech
lmao A loko to desh ma j nahi joie. 👍,hate_speech
Inko coffee tho chill 😎 👎,neutral
Class la nalla fun pannom. 😤,neutral
"Get out of here, nobody wants your kind. 😡 #life",hate_speech
lmao Majja avi gayi yaar 😍,neutral
Edo matladtunnadu pakkalo 😒 😭,offensive
People like you are the worst. Disgusting. 🔥 #funny,hate_speech
sis Pichhodu la undev 😠  #funny,offensive
Ei dhoroner lokera khub baje. 🔥 #savage,hate_speech
sis Tui akdom pagol naki? 👎,offensive
"Get out of here, nobody wants your kind. 🔥",hate_speech
smh Edo matladtunnadu pakkalo 😒 😤 #toxic,offensive
Faltu ma na bol ne! 😎,offensive
lol Oder dekhe ekhane ashte ichhe kore na. 🙄,hate_speech
A community tho matladadam waste.,hate_speech
"omg Get out of here, nobody wants your kind. 😡",hate_speech
Dost sathe garba karela 🎉,neutral
Tane kai samajh pade che? 😤 😭,offensive
sis College ni picnic best hati. 👎,neutral
A loko to desh ma j nahi joie. 🙄,hate_speech
lmao Tu kitna pagal hai bro 😒 😤,offensive
People like you are the worst. Disgusting.,hate_speech
idk Friends tho hangout super ga undhi. 😤 #toxic,neutral
Iniki lunch biriyani! 😋 🙄,neutral
Un community ku inga edam illa.  #fail,hate_speech
omg Nalla rasam undayirunnu. 🙄,neutral
idk Avide karikal onnum venda.,hate_speech
Cinemata darun chhilo!,neutral
Ajke raat bhalo lagche 😌  #life,neutral
sis You're such a loser 😤,offensive
lol Tum jaise log desh ke liye threat ho. 😡,hate_speech
idk This community should be banned! 👎 #lol,hate_speech
Innu college nannayirunnu 😄  #fail,neutral
Chilling with friends #goodvibes  #savage,neutral
lol Edo matladtunnadu pakkalo 😒,offensive
Apni community leke chale jao yahan se.,hate_speech
Nee brain unda?,offensive
Ki faltu gatha korchis re!  #lol,offensive
sis Ki faltu gatha korchis re! 👎,offensive
Ajke raat bhalo lagche 😌 😡 #life,neutral
idk Avarude samuham mosham aanallo.,hate_speech
Avanga varatha thadunga. Bad influence. 💯,hate_speech
Can't believe u said that. Idiot! 🔥,offensive
Tui akdom pagol naki? 😂,offensive
omg Tor matha thik ache?,offensive
lmao Dost sathe garba karela 🎉 😭,neutral
Eda thettu parayanam! 👍 #lol,offensive
bro College ni picnic best hati. 💯 #lol,neutral
lmao Nee brain unda?  #mood,offensive
People like you are the worst. Disgusting. 🔥 #funny,hate_speech
Avide karikal onnum venda. 😎,hate_speech
Innu college nannayirunnu 😄 💯 #mood,neutral
Can't believe u said that. Idiot!,offensive
Edo matladtunnadu pakkalo 😒 😤,offensive
Aaj mausam suhana hai 😍,neutral
bruh A loko to desh ma j nahi joie.,hate_speech
smh Tor matha thik ache?,offensive
Tari vaat samdi ne hasi avi gayi 🤣,offensive
Nee onnum ariyilla alle 😑 👎 #lol,offensive
sis Tor matha thik ache?,offensive
sis Nalla rasam undayirunnu. 👍,neutral
sis Chilling with friends #goodvibes 🔥,neutral
Inka hona hi problem hai.,hate_speech
wtf Vallaki place ledu ikkada. 👍 #fail,hate_speech
bruh Faltu ma na bol ne! 😡 #fail,offensive
Inko coffee tho chill 😎,neutral
Can't believe u said that. Idiot! 😭,offensive
Avarude samuham mosham aanallo.,hate_speech
Kya faltu baatein kar raha hai 😑 🙄 #savage,offensive
wtf This community should be banned! 😡,hate_speech
Inko coffee tho chill 😎,neutral
People like you are the worst. Disgusting. 😂,hate_speech
Ninna movie chala bagundhi. 😂 #funny,neutral
sis Ei dhoroner lokera khub baje.,hate_speech
Iniki lunch biriyani! 😋  #funny,neutral
wtf A loko to desh ma j nahi joie. 👍,hate_speech
idk Iniki lunch biriyani! 😋 🙄 #savage,neutral
Ki faltu gatha korchis re!,offensive
Eda thettu parayanam!  #mood,offensive
bro Tor matha thik ache? 😎 #funny,offensive
smh Avarude samuham mosham aanallo. 😂,hate_speech
wtf Doston ke saath masti kar raha hu!,neutral
Avi mentality waala loko kharab che. 😎,hate_speech
omg This community should be banned!,hate_speech
"sis Get out of here, nobody wants your kind. 😂",hate_speech
Nee onnum ariyilla alle 😑 😤,offensive
Ane ena jivata hoy to problem che. 👎,hate_speech
"Avanga ellarum same thaan, useless.",hate_speech
omg Kya faltu baatein kar raha hai 😑,offensive
wtf Chilling with friends #goodvibes 🙄,neutral
lmao Cafe il poyi chaya kudichu ☕  #life,neutral
bro Cafe il poyi chaya kudichu ☕,neutral
sis Avide karikal onnum venda.,hate_speech
Tu kitna pagal hai bro 😒  #life,offensive
Dost sathe garba karela 🎉  #mood,neutral
This community should be banned!  #life,hate_speech
bro College ni picnic best hati.,neutral
Ki faltu gatha korchis re!,offensive
wtf Had a great day today 😊,neutral
Pichhodu la undev 😠,offensive
Ajke raat bhalo lagche 😌,neutral
Tu kitna pagal hai bro 😒 😭,offensive
lol Aayana laanti vaallu problem. 😡 😂 #toxic,hate_speech
bro Poyi valarnnu vaa da! 😒  #mood,offensive
lol Eda thettu parayanam!,offensive
bro Avanga varatha thadunga. Bad influence. 🙄,hate_speech
bruh Iniki lunch biriyani! 😋,neutral
bruh Iniki lunch biriyani! 😋 🔥,neutral
smh Inko coffee tho chill 😎 💯,neutral
smh You're such a loser 😤 😤 #mood,offensive
Avi mentality waala loko kharab che. 😡,hate_speech
wtf This community should be banned!  #toxic,hate_speech
Facebook e ekta nice post dekhlam. 🔥,neutral
idk Cinemata darun chhilo! 🔥,neutral
Un community ku inga edam illa. 🔥,hate_speech
Tari vaat samdi ne hasi avi gayi 🤣  #mood,offensive
"smh Get out of here, nobody wants your kind. 👍",hate_speech
Ane ena jivata hoy to problem che. 🙄,hate_speech
bruh Cricket match mast tha!,neutral
Iniki lunch biriyani! 😋,neutral
Ninna movie chala bagundhi. 👎,neutral
bruh A loko to desh ma j nahi joie.,hate_speech
bruh Tui akdom pagol naki?,offensive
smh Cafe il poyi chaya kudichu ☕ 😤,neutral
Edo matladtunnadu pakkalo 😒,offensive
Tor matha thik ache? 🔥 #life,offensive
Pichhodu la undev 😠 😤,offensive
Nee romba irritating da 🤬,offensive
Had a great day today 😊 💯 #mood,neutral
College ni picnic best hati. 😭 #mood,neutral
bro Innu college nannayirunnu 😄,neutral
"idk Get out of here, nobody wants your kind.",hate_speech
What a game! Loved it 🔥 😭,neutral
idk Avi mentality waala loko kharab che. 👎,hate_speech
Tui akdom pagol naki? 😂,offensive
sis Apni community leke chale jao yahan se. 😂,hate_speech
"Get out of here, nobody wants your kind. 😎",hate_speech
Tane kai samajh pade che? 😤,offensive
Nee onnum ariyilla alle 😑 👍 #mood,offensive
sis Oru vattam koodi kandupidikkanam ivide. 😠 👎 #savage,hate_speech
sis Nee brain unda? 😡 #mood,offensive
That was dumb af bro 🙄 👎 #lol,offensive
Iniki lunch biriyani! 😋  #lol,neutral
Vallaki place ledu ikkada. 😂,hate_speech
bruh Avanga varatha thadunga. Bad influence.  #funny,hate_speech
Class la nalla fun pannom.,neutral
bro Oder community er kono jayga nei ekhane. 😭,hate_speech
idk People like you are the worst. Disgusting.,hate_speech
Bakwaas band kar idiot!  #lol,offensive
lmao Cafe il poyi chaya kudichu ☕ 👍,neutral
Nee onnum ariyilla alle 😑 🔥,offensive
Oru vattam koodi kandupidikkanam ivide. 😠,hate_speech
You're such a loser 😤,offensive
Edo matladtunnadu pakkalo 😒 👍,offensive
Enna da pannra? Waste fellow! 😎,offensive
wtf Facebook e ekta nice post dekhlam. 💯,neutral
Friends tho hangout super ga undhi.,neutral
Tari vaat samdi ne hasi avi gayi 🤣,offensive
lmao People like you are the worst. Disgusting. 😂 #funny,hate_speech
smh Bakwaas band kar idiot! 🙄,offensive
omg This community should be banned! 🔥,hate_speech
smh Cricket match mast tha!,neutral
Nee brain unda? 💯,offensive
Ninna movie chala bagundhi.,neutral
Apni community leke chale jao yahan se. 😂,hate_speech
idk Aayana laanti vaallu problem. 😡,hate_speech
Doston ke saath masti kar raha hu! 😂,neutral
omg College ni picnic best hati.  #life,neutral
bruh Majja avi gayi yaar 😍 😎,neutral
Ei dhoroner lokera khub baje. 😤 #mood,hate_speech
Had a great day today 😊,neutral
omg Cafe il poyi chaya kudichu ☕  #lol,neutral
idk Can't believe u said that. Idiot! 🙄 #mood,offensive
Had a great day today 😊  #mood,neutral
omg Cricket match mast tha! 😂,neutral
Tari vaat samdi ne hasi avi gayi 🤣  #fail,offensive
Chilling with friends #goodvibes  #mood,neutral
smh Aaj mausam suhana hai 😍,neutral
lol Ei dhoroner lokera khub baje. 🙄 #mood,hate_speech
idk Cricket match mast tha! 🔥,neutral
sis Ajke raat bhalo lagche 😌  #fail,neutral
Un community ku inga edam illa. 🔥,hate_speech
Faltu ma na bol ne! 😤 #toxic,offensive
omg Avi mentality waala loko kharab che.,hate_speech
Inko coffee tho chill 😎 😭 #funny,neutral
Loosu madhiri pesatha! 😤,offensive
sis Dost sathe garba karela 🎉,neutral
You're such a loser 😤  #funny,offensive
Cafe il poyi chaya kudichu ☕,neutral
omg Aaj mausam suhana hai 😍 😤,neutral
Oder dekhe ekhane ashte ichhe kore na. 😂 #mood,hate_speech
bro Ei dhoroner lokera khub baje.,hate_speech
bro Tane kai samajh pade che? 😤 😂,offensive
bruh Ane ena jivata hoy to problem che.,hate_speech
Had a great day today 😊 🔥,neutral
bro Ei dhoroner lokera khub baje. 🙄,hate_speech
bro Tum jaise log desh ke liye threat ho.,hate_speech
omg Tui akdom pagol naki? 👍,offensive
Nethu movie super da 😍 😤,neutral
Nee romba irritating da 🤬  #life,offensive
"bruh Avanga ellarum same thaan, useless.",hate_speech
smh This community should be banned! 😭 #toxic,hate_speech
sis Avi mentality waala loko kharab che.  #lol,hate_speech
bruh Eda thettu parayanam!,offensive
Nee romba irritating da 🤬,offensive
"Avanga ellarum same thaan, useless. 😤 #savage",hate_speech
Innu college nannayirunnu 😄 😡,neutral
wtf Bakwaas band kar idiot! 😤,offensive
bruh This community should be banned!,hate_speech
smh Tari vaat samdi ne hasi avi gayi 🤣 😂,offensive
Ei dhoroner lokera khub baje.,hate_speech
Tor matha thik ache? 😤 #life,offensive
bruh Facebook e ekta nice post dekhlam. 😂 #toxic,neutral
lol Nalla rasam undayirunnu. 😡 #lol,neutral
People like you are the worst. Disgusting.,hate_speech
Cricket match mast tha! 💯 #toxic,neutral
Vallaki place ledu ikkada. 👍,hate_speech
wtf Oru vattam koodi kandupidikkanam ivide. 😠,hate_speech
bruh Tui akdom pagol naki?,offensive
A loko to desh ma j nahi joie.,hate_speech
lol Tui akdom pagol naki?,offensive
Inko coffee tho chill 😎,neutral
smh Chilling with friends #goodvibes 😎,neutral
Tui akdom pagol naki?,offensive
A community tho matladadam waste.,hate_speech
That was dumb af bro 🙄  #funny,offensive
idk You're such a loser 😤 🙄,offensive
Innu college nannayirunnu 😄 🙄 #mood,neutral
lol Pichhodu la undev 😠,offensive
smh Can't believe u said that. Idiot!,offensive
Class la nalla fun pannom.,neutral
Cafe il poyi chaya kudichu ☕ 🙄 #toxic,neutral
Avanga varatha thadunga. Bad influence. 💯 #life,hate_speech
idk Avanga varatha thadunga. Bad influence.  #mood,hate_speech
Had a great day today 😊,neutral
Tari vaat samdi ne hasi avi gayi 🤣 👍 #life,offensive
"omg Get out of here, nobody wants your kind.",hate_speech
Tui akdom pagol naki?  #funny,offensive
sis Cafe il poyi chaya kudichu ☕ 😡,neutral
omg Tane kai samajh pade che? 😤,offensive
wtf Nee brain unda? 😭,offensive
smh Faltu ma na bol ne!,offensive
Apni community leke chale jao yahan se.  #lol,hate_speech
bro Tor matha thik ache? 🔥,offensive
Ajke raat bhalo lagche 😌 😎,neutral
Ajke raat bhalo lagche 😌 😤,neutral
Nee romba irritating da 🤬 😡,offensive
Ajke raat bhalo lagche 😌 💯,neutral
lmao Innu college nannayirunnu 😄 😭 #funny,neutral
Tu kitna pagal hai bro 😒  #fail,offensive
Cafe il poyi chaya kudichu ☕ 👎,neutral
lmao This community should be banned!,hate_speech
bro Tane kai samajh pade che? 😤,offensive
sis Tari vaat samdi ne hasi avi gayi 🤣 😎,offensive
Nee romba irritating da 🤬,offensive
Cinemata darun chhilo!,neutral
Oder community er kono jayga nei ekhane. 😭,hate_speech
lmao Avi mentality waala loko kharab che.  #funny,hate_speech
Oru vattam koodi kandupidikkanam ivide. 😠 👎,hate_speech
Aayana laanti vaallu problem. 😡 😭,hate_speech
omg Tui akdom pagol naki? 🙄,offensive
A loko to desh ma j nahi joie. 😎,hate_speech
wtf Ninna movie chala bagundhi. 🔥,neutral
lol Inka hona hi problem hai. 🔥,hate_speech
Nee onnum ariyilla alle 😑 😎 #funny,offensive
Ane ena jivata hoy to problem che.  #toxic,hate_speech
idk Had a great day today 😊 🙄 #funny,neutral
lmao Innu college nannayirunnu 😄,neutral
wtf Nee onnum ariyilla alle 😑 🔥,offensive
bro Vallaki place ledu ikkada.  #savage,hate_speech
bro Tari vaat samdi ne hasi avi gayi 🤣 🔥 #lol,offensive
bruh Nee romba irritating da 🤬 💯 #fail,offensive
lol Nee onnum ariyilla alle 😑  #life,offensive
What a game! Loved it 🔥,neutral
bro Dost sathe garba karela 🎉 😂,neutral
That was dumb af bro 🙄,offensive
smh Inka hona hi problem hai. 👎,hate_speech
smh Oder community er kono jayga nei ekhane. 😎,hate_speech
bro A loko to desh ma j nahi joie. 😭 #toxic,hate_speech
smh Ei dhoroner lokera khub baje.  #toxic,hate_speech
Un community ku inga edam illa. 😭 #mood,hate_speech
This community should be banned! 👎,hate_speech
omg Bakwaas band kar idiot!  #funny,offensive
Doston ke saath masti kar raha hu!  #fail,neutral
Nee brain unda?,offensive
Tane kai samajh pade che? 😤,offensive
bruh Vallaki place ledu ikkada. 🙄,hate_speech
idk People like you are the worst. Disgusting. 😎,hate_speech
omg Aayana laanti vaallu problem. 😡  #fail,hate_speech
omg Cinemata darun chhilo! 👎,neutral
Kya faltu baatein kar raha hai 😑 👎 #life,offensive
lmao Enna da pannra? Waste fellow!,offensive
Iniki lunch biriyani! 😋 😎 #life,neutral
Avide karikal onnum venda. 🙄 #toxic,hate_speech
Ane ena jivata hoy to problem che.,hate_speech
Tum jaise log desh ke liye threat ho.  #mood,hate_speech
Kya faltu baatein kar raha hai 😑,offensive
Class la nalla fun pannom.,neutral
bruh Tu kitna pagal hai bro 😒 🙄,offensive
bruh Innu college nannayirunnu 😄,neutral
Tane kai samajh pade che? 😤,offensive
That was dumb af bro 🙄 👎,offensive
You're such a loser 😤 🙄 #fail,offensive
That was dumb af bro 🙄,offensive
Pichhodu la undev 😠,offensive
lol Majja avi gayi yaar 😍,neutral
bro Aayana laanti vaallu problem. 😡,hate_speech
Nee onnum ariyilla alle 😑,offensive
Avide karikal onnum venda. 🔥 #life,hate_speech
wtf Chilling with friends #goodvibes,neutral
lol Tui akdom pagol naki? 😭 #life,offensive
Tari vaat samdi ne hasi avi gayi 🤣,offensive
"Get out of here, nobody wants your kind.",hate_speech
sis Friends tho hangout super ga undhi.,neutral
bro Ninna movie chala bagundhi.  #funny,neutral
bro Nethu movie super da 😍 😎,neutral
wtf Vallaki place ledu ikkada. 👎 #mood,hate_speech
Aaj mausam suhana hai 😍 👎,neutral
lol Oder community er kono jayga nei ekhane.  #savage,hate_speech
Nalla rasam undayirunnu. 👎,neutral
What a game! Loved it 🔥 😡,neutral
Avi mentality waala loko kharab che.,hate_speech
Majja avi gayi yaar 😍 👍,neutral
idk Eda thettu parayanam! 🔥,offensive
bro Vallaki place ledu ikkada. 😡,hate_speech
Edo matladtunnadu pakkalo 😒,offensive
Tu kitna pagal hai bro 😒 🙄,offensive
Enna da pannra? Waste fellow!,offensive
wtf Aayana laanti vaallu problem. 😡 💯 #mood,hate_speech
sis Nethu movie super da 😍,neutral
idk Nee romba irritating da 🤬,offensive
Tor matha thik ache? 🙄 #mood,offensive
Nee brain unda?,offensive
lol Cafe il poyi chaya kudichu ☕,neutral
What a game! Loved it 🔥 👍 #toxic,neutral
Bakwaas band kar idiot!,offensive
Nee brain unda? 😂,offensive
Chilling with friends #goodvibes,neutral
wtf Pichhodu la undev 😠 😭,offensive
lol Inka hona hi problem hai. 😭,hate_speech
bro Un community ku inga edam illa.,hate_speech
Innu college nannayirunnu 😄,neutral
lmao Chilling with friends #goodvibes  #mood,neutral
Nee onnum ariyilla alle 😑 🔥 #mood,offensive
Poyi valarnnu vaa da! 😒,offensive
What a game! Loved it 🔥 😂,neutral
wtf Nee onnum ariyilla alle 😑,offensive
omg Nee brain unda? 🔥,offensive
bro Kya faltu baatein kar raha hai 😑  #fail,offensive
Iniki lunch biriyani! 😋 👎,neutral
Ane ena jivata hoy to problem che.  #toxic,hate_speech
Tor matha thik ache?,offensive
People like you are the worst. Disgusting.,hate_speech
Avide karikal onnum venda. 💯,hate_speech
Ki faltu gatha korchis re!,offensive
idk Avanga varatha thadunga. Bad influence.  #funny,hate_speech
Ninna movie chala bagundhi.,neutral
smh Tui akdom pagol naki?,offensive
wtf Ki faltu gatha korchis re! 👎,offensive
Enna da pannra? Waste fellow!,offensive
Loosu madhiri pesatha! 👎 #life,offensive
Friends tho hangout super ga undhi.,neutral
Oder dekhe ekhane ashte ichhe kore na. 👎 #lol,hate_speech
lol Cricket match mast tha! 🔥,neutral
Ane ena jivata hoy to problem che. 😭,hate_speech
sis That was dumb af bro 🙄 🔥 #lol,offensive
lmao Ane ena jivata hoy to problem che. 💯,hate_speech
Avanga varatha thadunga. Bad influence.,hate_speech
Tari vaat samdi ne hasi avi gayi 🤣  #lol,offensive
idk Nee brain unda? 😭,offensive
Faltu ma na bol ne!,offensive
bruh Dost sathe garba karela 🎉,neutral
wtf Nethu movie super da 😍 😂,neutral
Inka hona hi problem hai. 💯 #funny,hate_speech
"wtf Avanga ellarum same thaan, useless.",hate_speech
bro Nee brain unda? 👎,offensive
People like you are the worst. Disgusting.,hate_speech
Ei dhoroner lokera khub baje.,hate_speech
idk Tum jaise log desh ke liye threat ho. 😭,hate_speech
Ane ena jivata hoy to problem che. 😎,hate_speech
People like you are the worst. Disgusting.  #life,hate_speech
lmao Facebook e ekta nice post dekhlam.,neutral
lmao Bakwaas band kar idiot! 😭 #funny,offensive
Loosu madhiri pesatha! 🔥,offensive
sis Class la nalla fun pannom.,neutral
bro Tum jaise log desh ke liye threat ho.  #funny,hate_speech
Eda thettu parayanam! 😭,offensive
Tum jaise log desh ke liye threat ho.,hate_speech
What a game! Loved it 🔥,neutral
Vallaki place ledu ikkada.,hate_speech
Tu kitna pagal hai bro 😒  #fail,offensive
Faltu ma na bol ne! 😎,offensive
bro Oru vattam koodi kandupidikkanam ivide. 😠  #toxic,hate_speech
bruh Avide karikal onnum venda.,hate_speech
smh Iniki lunch biriyani! 😋 👍 #life,neutral
Faltu ma na bol ne!,offensive
lol Chilling with friends #goodvibes 🔥,neutral
omg Oder dekhe ekhane ashte ichhe kore na.,hate_speech
smh Nee romba irritating da 🤬,offensive
lol Nee onnum ariyilla alle 😑 💯 #toxic,offensive
What a game! Loved it 🔥,neutral
Nee romba irritating da 🤬,offensive
bruh Avarude samuham mosham aanallo.,hate_speech
Dost sathe garba karela 🎉  #life,neutral
bruh You're such a loser 😤  #toxic,offensive
Majja avi gayi yaar 😍 😭,neutral
lol Inko coffee tho chill 😎 👍,neutral
Nethu movie super da 😍,neutral
sis Can't believe u said that. Idiot!,offensive
Cafe il poyi chaya kudichu ☕,neutral
sis Nee brain unda? 🔥,offensive
Nee onnum ariyilla alle 😑,offensive
Poyi valarnnu vaa da! 😒,offensive
Avanga varatha thadunga. Bad influence. 😡 #life,hate_speech
omg Tum jaise log desh ke liye threat ho.  #savage,hate_speech
What a game! Loved it 🔥  #funny,neutral
Tui akdom pagol naki?  #life,offensive
bro That was dumb af bro 🙄,offensive
That was dumb af bro 🙄 😭 #life,offensive
lol Ki faltu gatha korchis re!,offensive
lol Can't believe u said that. Idiot!  #life,offensive
omg A loko to desh ma j nahi joie.  #toxic,hate_speech
sis That was dumb af bro 🙄 😤,offensive
That was dumb af bro 🙄 👍,offensive
Tui akdom pagol naki?,offensive
A loko to desh ma j nahi joie.,hate_speech
idk Nethu movie super da 😍 😎,neutral
bruh People like you are the worst. Disgusting. 💯,hate_speech
Ei dhoroner lokera khub baje. 😤,hate_speech
Avarude samuham mosham aanallo.,hate_speech
This community should be banned! 😡,hate_speech
Had a great day today 😊 😎,neutral
Kya faltu baatein kar raha hai 😑  #toxic,offensive
Nee romba irritating da 🤬,offensive
Innu college nannayirunnu 😄,neutral
sis Loosu madhiri pesatha! 😎,offensive
Cafe il poyi chaya kudichu ☕ 💯,neutral
That was dumb af bro 🙄  #savage,offensive
Enna da pannra? Waste fellow!,offensive
Nethu movie super da 😍  #fail,neutral
Ki faltu gatha korchis re!  #life,offensive
Oder community er kono jayga nei ekhane.,hate_speech
Faltu ma na bol ne!,offensive
idk Ki faltu gatha korchis re! 💯,offensive
"lmao Get out of here, nobody wants your kind. 🙄 #mood",hate_speech
lol Oder dekhe ekhane ashte ichhe kore na. 😭,hate_speech
"Avanga ellarum same thaan, useless.  #life",hate_speech
You're such a loser 😤,offensive
bro Friends tho hangout super ga undhi.,neutral
Oru vattam koodi kandupidikkanam ivide. 😠 💯,hate_speech
Ninna movie chala bagundhi.,neutral
sis Avi mentality waala loko kharab che.,hate_speech
Tu kitna pagal hai bro 😒  #life,offensive
smh Avide karikal onnum venda.,hate_speech
That was dumb af bro 🙄 😂,offensive
Nethu movie super da 😍  #life,neutral
idk Apni community leke chale jao yahan se.,hate_speech
smh Poyi valarnnu vaa da! 😒 🙄 #toxic,offensive
What a game! Loved it 🔥 😤,neutral
omg Had a great day today 😊,neutral
sis Tu kitna pagal hai bro 😒  #funny,offensive
idk Apni community leke chale jao yahan se.,hate_speech
smh Kya faltu baatein kar raha hai 😑,offensive
You're such a loser 😤 👎,offensive
lol A loko to desh ma j nahi joie. 😡 #mood,hate_speech
Ane ena jivata hoy to problem che. 😭 #mood,hate_speech
Oru vattam koodi kandupidikkanam ivide. 😠 💯,hate_speech
wtf Tor matha thik ache? 😤,offensive
idk Enna da pannra? Waste fellow! 😡,offensive
Oru vattam koodi kandupidikkanam ivide. 😠 💯,hate_speech
Oder community er kono jayga nei ekhane.  #mood,hate_speech
Facebook e ekta nice post dekhlam.,neutral
omg Bakwaas band kar idiot!  #mood,offensive
Avi mentality waala loko kharab che. 👍,hate_speech
Chilling with friends #goodvibes  #fail,neutral
lmao Ki faltu gatha korchis re!  #fail,offensive
Oder community er kono jayga nei ekhane.,hate_speech
Ajke raat bhalo lagche 😌,neutral
lmao Iniki lunch biriyani! 😋,neutral
Kya faltu baatein kar raha hai 😑 👍,offensive
People like you are the worst. Disgusting. 👎 #funny,hate_speech
idk A loko to desh ma j nahi joie.  #lol,hate_speech
Oder dekhe ekhane ashte ichhe kore na.,hate_speech
Tor matha thik ache? 🔥,offensive
wtf Ajke raat bhalo lagche 😌 😎,neutral
bruh Apni community leke chale jao yahan se.,hate_speech
This community should be banned!  #toxic,hate_speech
Kya faltu baatein kar raha hai 😑  #mood,offensive
Ei dhoroner lokera khub baje. 😡,hate_speech
lol Cafe il poyi chaya kudichu ☕,neutral
Avanga varatha thadunga. Bad influence. 😤 #life,hate_speech
bruh Cinemata darun chhilo! 😂,neutral
lol Kya faltu baatein kar raha hai 😑 😎 #fail,offensive
bro Inka hona hi problem hai.,hate_speech
"Get out of here, nobody wants your kind. 🔥",hate_speech
Faltu ma na bol ne! 😂,offensive
omg Ane ena jivata hoy to problem che. 😡,hate_speech
idk Kya faltu baatein kar raha hai 😑,offensive
Tor matha thik ache?,offensive
Chilling with friends #goodvibes 💯,neutral
Inko coffee tho chill 😎 👎 #fail,neutral
